run,method,basis,pseudopotential,bond-length,S,L,E,conv
76,UB3LYP,vdz,trail,1.725,1,1,-213.2353140938259,False
76,UB3LYP,vtz,trail,1.725,1,1,-213.2430412868628,False
78,UB3LYP,vdz,trail,1.725,1,1,-213.4705974785505,False
78,UB3LYP,vtz,trail,1.725,1,1,-213.47879833183174,False
84,UB3LYP,vdz,trail,1.725,1,0,-213.46139377046038,False
84,UB3LYP,vtz,trail,1.725,1,0,-213.47017036945556,False
89,UB3LYP,vdz,trail,1.725,1,1,-213.07890962695458,False
89,UB3LYP,vtz,trail,1.725,1,1,-213.0938546201241,False
93,UB3LYP,vdz,trail,1.725,3,3,-213.34602077845295,False
93,UB3LYP,vtz,trail,1.725,3,3,-213.35405981989874,False
99,UB3LYP,vdz,trail,1.725,1,1,-213.57904125573071,False
99,UB3LYP,vtz,trail,1.725,1,1,-213.59338912140853,False
100,UB3LYP,vdz,trail,1.725,3,3,-213.47715127901498,False
100,UB3LYP,vtz,trail,1.725,3,3,-213.485347157288,False
101,UB3LYP,vdz,trail,1.725,1,0,-213.1033456469497,True
101,UB3LYP,vtz,trail,1.725,1,0,-213.1204403339872,True
103,UB3LYP,vdz,trail,1.725,1,3,-213.46669737264313,False
103,UB3LYP,vtz,trail,1.725,1,3,-213.4749579012528,False
105,UB3LYP,vdz,trail,1.725,1,-1,-213.47097264304767,False
105,UB3LYP,vtz,trail,1.725,1,-1,-213.47917580285582,False
106,UB3LYP,vdz,trail,1.725,1,1,-213.47056217988876,False
106,UB3LYP,vtz,trail,1.725,1,1,-213.47866601786782,False
111,UB3LYP,vdz,trail,1.725,1,3,-213.4667799306762,False
111,UB3LYP,vtz,trail,1.725,1,3,-213.4750385429828,False
112,UB3LYP,vdz,trail,1.725,1,-1,-213.5118030321706,False
112,UB3LYP,vtz,trail,1.725,1,-1,-213.52132450067916,False
117,UB3LYP,vdz,trail,1.725,1,-2,-213.41964565398547,True
117,UB3LYP,vtz,trail,1.725,1,-2,-213.42951061272325,True
118,UB3LYP,vdz,trail,1.725,3,1,-213.52069135589426,False
118,UB3LYP,vtz,trail,1.725,3,1,-213.50705034446713,False
119,UB3LYP,vdz,trail,1.725,1,3,-213.14283060718506,False
119,UB3LYP,vtz,trail,1.725,1,3,-213.15863670636872,False
122,UB3LYP,vdz,trail,1.725,1,-1,-213.5118160327286,False
122,UB3LYP,vtz,trail,1.725,1,-1,-213.52141148445327,False
123,UB3LYP,vdz,trail,1.725,1,1,-213.47057662994084,False
123,UB3LYP,vtz,trail,1.725,1,1,-213.4788238770093,False
124,UB3LYP,vdz,trail,1.725,3,2,-213.47028368361134,False
124,UB3LYP,vtz,trail,1.725,3,2,-213.47844376231353,False
125,UB3LYP,vdz,trail,1.725,1,2,-213.4778227321802,False
125,UB3LYP,vtz,trail,1.725,1,2,-213.48921461287645,False
126,UB3LYP,vdz,trail,1.725,1,1,-213.29689169116796,False
126,UB3LYP,vtz,trail,1.725,1,1,-213.30546758748616,False
127,UB3LYP,vdz,trail,1.725,1,0,-213.16321099634135,False
127,UB3LYP,vtz,trail,1.725,1,0,-213.17582731353252,False
129,UB3LYP,vdz,trail,1.725,3,2,-213.47028373758326,False
129,UB3LYP,vtz,trail,1.725,3,2,-213.47846147256905,False
130,UB3LYP,vdz,trail,1.725,1,2,-212.45413826113028,True
130,UB3LYP,vtz,trail,1.725,1,2,-212.49375597330194,True
132,UB3LYP,vdz,trail,1.725,1,2,-213.46157640542742,False
132,UB3LYP,vtz,trail,1.725,1,2,-213.46971465631955,False
133,UB3LYP,vdz,trail,1.725,1,2,-213.3313152823378,False
133,UB3LYP,vtz,trail,1.725,1,2,-213.33584172512485,False
134,UB3LYP,vdz,trail,1.725,1,2,-213.4615763200561,False
134,UB3LYP,vtz,trail,1.725,1,2,-213.46974952605282,False
135,UB3LYP,vdz,trail,1.725,1,2,-212.45422811705427,True
135,UB3LYP,vtz,trail,1.725,1,2,-212.49384205000314,True
136,UB3LYP,vdz,trail,1.725,1,0,-213.46136960897655,False
136,UB3LYP,vtz,trail,1.725,1,0,-213.47022430311125,False
139,UB3LYP,vdz,trail,1.725,1,3,-213.46671678228972,False
139,UB3LYP,vtz,trail,1.725,1,3,-213.47492988414754,False
140,UB3LYP,vdz,trail,1.725,1,-1,-213.47091396710832,False
140,UB3LYP,vtz,trail,1.725,1,-1,-213.47910488263165,False
142,UB3LYP,vdz,trail,1.725,3,2,-213.52818959814996,True
142,UB3LYP,vtz,trail,1.725,3,2,-213.5379605770467,True
145,UB3LYP,vdz,trail,1.725,1,1,-213.07907687724116,False
145,UB3LYP,vtz,trail,1.725,1,1,-213.09393316460563,False
148,UB3LYP,vdz,trail,1.725,3,2,-213.4266859732309,True
148,UB3LYP,vtz,trail,1.725,3,2,-213.4367006528919,True
149,UB3LYP,vdz,trail,1.725,1,0,-213.50548520747833,False
149,UB3LYP,vtz,trail,1.725,1,0,-213.51475370553862,False
152,UB3LYP,vdz,trail,1.725,1,1,-213.12583108830046,False
152,UB3LYP,vtz,trail,1.725,1,1,-213.1410822181189,False
157,UB3LYP,vdz,trail,1.725,1,1,-213.47056892784764,False
157,UB3LYP,vtz,trail,1.725,1,1,-213.47878590729636,False
158,UB3LYP,vdz,trail,1.725,1,2,-213.4787348834949,False
158,UB3LYP,vtz,trail,1.725,1,2,-213.48744337510254,False
161,UB3LYP,vdz,trail,1.725,3,4,-213.19782559088674,False
161,UB3LYP,vtz,trail,1.725,3,4,-213.21040240330308,False
163,UB3LYP,vdz,trail,1.725,1,2,-213.33033397460042,False
163,UB3LYP,vtz,trail,1.725,1,2,-213.33808736106215,False
170,UB3LYP,vdz,trail,1.725,1,2,-213.27401543224363,False
170,UB3LYP,vtz,trail,1.725,1,2,-213.28157203952716,False
173,UB3LYP,vdz,trail,1.725,3,3,-213.47720721037086,False
173,UB3LYP,vtz,trail,1.725,3,3,-213.48539563184,False
175,UB3LYP,vdz,trail,1.725,1,1,-213.12577341152954,False
175,UB3LYP,vtz,trail,1.725,1,1,-213.1409448825633,False
