run,method,basis,pseudopotential,bond-length,S,E,conv
0,UB3LYP,vdz,trail,1.725,1,-213.57975537520116,True
0,UB3LYP,vtz,trail,1.725,1,-213.59376287068483,True
1,UB3LYP,vdz,trail,1.725,1,-213.50929997270532,True
1,UB3LYP,vtz,trail,1.725,1,-213.51800393070016,True
2,UB3LYP,vdz,trail,1.725,1,-213.35519489353385,True
2,UB3LYP,vtz,trail,1.725,1,-213.36328636985078,True
3,UB3LYP,vdz,trail,1.725,1,-213.51184173749078,True
3,UB3LYP,vtz,trail,1.725,1,-213.52148067575786,True
4,UB3LYP,vdz,trail,1.725,1,-213.47066206026568,True
